cluster_id,cluster_label,keyword,search_volume,keyword_difficulty,intent,cluster_total_volume,cluster_avg_difficulty,cluster_size,quality_score
6,Fireplace Btu,gas fireplace btus,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,average btu for gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,average btu gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,average fireplace btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,average gas fireplace btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btu fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btu for fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btu for gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btu gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btu meaning,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btu meaning gas,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btu of gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btus,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btus definition,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,btus meaning,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,define btus,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,fire place btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,fireplace btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,fireplace btu calculator,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,fireplace btu load,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,fireplace btu output,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,fireplace btu rating,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,fireplace btus,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,gas fire place btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,gas fireplace btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,gas fireplace btu calculator,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,gas fireplace btu output,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,gas fireplace btu rating,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,gas log btu rating,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how do i choose the right size natural gas fireplace for my room?,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu are gas logs,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu does a fireplace put out,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu does a gas fireplace use,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu fireplace do i need,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu for gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu gas fireplace do i need,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu is a fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btu is a gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus does a fireplace put out,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus does a fireplace use,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus does a gas fireplace put out,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus does a gas fireplace use,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus does a gas range need,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus for gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus in a therm of natural gas,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus is a fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus is a gas fireplace,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how many btus is a gas range,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,how much heat does a wood stove produce,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,natural gas btus,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,natural gas fireplace btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,typical gas fireplace btu,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,what does btu mean for grills,0,0,informational,0,0.0,54,52.71
6,Fireplace Btu,what is btu gas,0,0,informational,0,0.0,54,52.71
7,Blower Fireplace,air blower for fireplace,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,antique fire blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,antique fireplace blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,blower fan,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,blower fireplace,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,blower for open fireplace,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,blower for outdoor fireplace,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,blower motor for wood burning stove,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,blower/fan,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,blowers how to,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,charcoal blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,convection blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,do fireplace blowers really work,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,electric fan fire,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fire air blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fire blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fire blower fan,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fire blower thing,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,firebox blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace accordion blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace air blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace air blower name,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace blower thing,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace blower tubes,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace pipe blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace tool that blows air,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace tube blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplace.blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,fireplaceblower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,firplace blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,flame blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,foreplace blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,how does a wood stove blower work,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,indoor fan blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,manual air blower for fireplace,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,old fire blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,old fireplace blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,open fire fan blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,propane fire blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,tool to blow air on fire,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,tube fireplace blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,universal fireplace blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what does a blower do for a wood stove,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what does a blower do on a wood stove,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what does a fireplace blower do,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what does fireplace blower do,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what is a fire blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what is a fire blower called,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what is a fireplace blower,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,what is a fireplace blower called,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,when will my blower come and what should i say next?,0,0,informational,0,0.0,52,51.96
7,Blower Fireplace,wood burning stove with blower,0,0,informational,0,0.0,52,51.96
9,Gas Thermostat,gas fireplace thermostat,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,add thermostat to gas fireplace,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,adding a thermostat to a gas fireplace,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,best thermostat for gas fireplace,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,can you put a thermostat on a gas fireplace,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,damper knob,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,digital thermostat for gas fireplace,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,do gas fireplaces have a thermostat,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,do gas fireplaces have thermostats,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,fireplace insert thermostat,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,fireplace thermostat,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,fireplace thermostats,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,fireplace with thermostat,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,gas fire thermostat,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,gas fireplace blower control,0,0,informational,0,0.0,74,53.11
9,Gas Thermostat,gas fireplace connected to thermostat,0,0,informational,0,0.0,74,53.11
